en_text,fr_text
"(Music: ""The Sound of Silence,""
Simon &amp; Garfunkel)","Bonjour répondeur, mon vieil ami. (Rires) J'apelle encore le support technique. J'ai ignoré le conseil de mon chef. J'ai appelé un lundi matin. C'est maintenant le soir, et mon diner commença par être froid - puis moisi Je suis toujours en attente. J'écoute le son du silence. Je ne pense pas que vous comprenez. Je pense que vos lignes ne sont pas assez couvertes. J'ai appuyé sur tous les boutons qu'on m'a dit. mais je reste toujours 18 heures en attente. Comme si c'était pas suffisant votre programme a fait planter mon Mac et il plante et replante constamment -- il a effacé mes ROMS! Maintenant le Mac fait le son du silence. Dans mes rêves je fantasme d'abattre ma vengeance sur vous les gars. Disons que vous avez un accident de moto du sang jailli de vos entrailles. Avec vos dernières forces, vous appelez le 9-1-1 et vous priez pour un médecin experimenté. Mais vous m'avez moi (Rires) et vous écoutez le son du silence. (Applaudissements)"
"Hello voice mail, my old friend.","Merci. Bonsoir et bienvenue au ""Trouvez le présentateur TED qui était avant un accompagnateur sur Broadway"" (Rires) OK. Quand on m'a proposé d'écrire pour le Times il y a 6 ans, l'arrangement était le suivant: on m'enverrait les gadgets, les plus cool, les plus demandés, et les plus tendance. Chaque semaine ils arriveraient chez moi. Pour que je les essaie, joue avec, et que je les évalue jusqu'à ce que la nouveauté s'estompe, avant de les renvoyer. Et je serais payé pour ça. Je pouvais y réfléchir, si je voulais. Bon j'ai toujours été un fou de technologie, et j'adore toujours autant ça. À part que le boulot est venu avec un petit désagrément. Et c'était que, ils avaient l'intention de publier mon adresse email a la fin de chaque article. Et ce que j'ai remarqué c'est -- d'abord, vous recevez un nombre incroyable d'emails."
(Laughter),"Si jamais vous vous sentez seul, écrivez pour le New York Times, parce que vous aller recevoir des centaines et des centaines et des centaines d'emails. Et l'email que je reçois le plus ces jours traite de frustration. Les gens ont le sentiment que les choses -- OK, juste un message d'alarme sur mon écran. Heureusement vous ne le voyez pas. Les gens ont le sentiment d'être dépassés. Que c'est trop de technologie, trop vite. C'est peut-être de la bonne technologie, mais j'ai l'impression qu'il n'y a pas assez de structure de support. Il n'y a pas assez d'aide. Il n'y a pas assez de recherche mise dans le design pour le rendre facile et agréable à utiliser. Une fois j'ai écrit un article sur mes efforts pour joindre l’assistance technique de Dell. Et en 12 heures, il y a eu plus de 700 messages de lecteurs sur le forum sur le site web du Times, d'utilisateurs disant, ""Moi aussi!"" et, ""Voici mon expérience malheureuse."" J'appelle ça la rage du logiciel. Et laissez moi vous dire, celui qui arrivera à transformer en argent cette frustration va -- oh, d'où ça sort? Je plaisante. (Rires)"
"I've called for tech support again. I ignored my boss's warning. I called on a Monday morning. Now it's evening, and my dinner
first grew cold, and then grew mold. I'm still on hold. I'm listening to the sounds of silence. I don't think you understand. I think your phone lines are unmanned. I punched every touch tone I was told, but I've still spent 18 hours on hold. It's not enough your software
crashed my Mac, and it constantly hangs and bombs -- it erased my ROMs! Now the Mac makes the sounds of silence. In my dreams I fantasize of wreaking vengeance on you guys. Say your motorcycle crashes. Blood comes gushing from your gashes. With your fading strength, you call 9-1-1
and you pray for a trained MD. But you get me.","Ok, bon pourquoi est-ce que le problème s'accélère ? Et une partie du problème est, ironiquement, parce que l'industrie a fait tellement de recherche pour rendre les choses plus simples à utiliser. Je vais vous montrer ce que je veux dire. Voici à quoi ressemblait l'interface d'un ordinateur, DOS. Au fil du temps c'est devenu plus simple à utiliser. Voici le système d'exploitation Mac d'origine. Reagan était président. Madonna était encore brune. Et tout le système d'exploitation -- attention -- tout le système d'exploitation tenait dans 211k. Le logo de Mac OS 10 ne tiendrait pas dans 211k! (Rires) Et l'ironie c'est que comme ces choses devenaient plus faciles à utiliser un public moins technique et plus large entrait en contact avec cet équipement pour la première fois."
(Laughter),"J'ai eu une fois le privilège de rester au centre d'appel d'Apple toute une journée. Le gars avait un deuxième casque pour que je puisse entendre. Les appels qui -- vous savez ce qu'ils disent, ""Votre appel peut être enregistré pour les besoins de la formation?"" Mm-Mmm. Votre appel peut être enregistré pour qu'ils puissent avoir les histoires les plus drôles d'utilisateurs stupides et se les passer sur CD. (Rires) Ce qu'ils font. (Rires) Et j'ai une copie. (Rires) C'est dans votre sac-cadeau. Non, non. Votre voix est dessus. Certaines histoires sont tellement classiques, et pourtant si compréhensibles. Une dame a appelé Apple pour se plaindre que sa souris grinçait -- qu'elle émettait un son grinçant. Et le technicien a dit, ""Bon, madame, qu'est-ce que vous voulez dire par votre souris grince?"" Elle a dit, ""Tout ce que je peux vous dire c'est que plus vite je la bouge sur l'écran plus elle grince fort (Rires) Et le technicien étonné, ""Madame, vous avez la souris contre l'écran?"" Elle répond, ""Bon, le message disait, 'cliquer ici pour continuer.'"" (Rires)"
And you listen to the sounds of silence.,"Bon si vous aimez celle-là, combien de temps avons-nous ? Une autre, un gars a appelé. Ceci est véridique! Son ordinateur avait planté, et il a dit au technicien qu'il ne pouvait pas redémarrer peut importe combien de fois il tapait 11. Et le technicien a dit, ""Quoi? Pourquoi êtes vous en train de taper 11?"" Et il a dit, ""Le message dit, 'Erreur Type (taper) 11.'"" (Rires) Bon on doit admettre qu'une partie de la faute est dûe à l'utilisateur. Mais pourquoi est-ce que la crise technique,"
(Music),"la crise de complexité, s'accélère maintenant? Dans le monde du matériel, c'est parce que nous consommateurs voulons que tout soit toujours plus petit. Donc les gadgets deviennent minuscules mais nos doigts restent toujours de la même taille. C'est donc toujours plus difficile. Le logiciel est sujet à une autre force primaire: Le mandat de publier toujours plus de versions. Quand on achète un logiciel, ce n'est pas comme acheter un vase ou un bonbon, que l'on possède. C'est plus comme adhérer à un club où l'on paie la cotisation chaque année. Et chaque année, ils disent, ""Nous avons ajouté plus de fonctions et nous allons vous les vendre pour 99 dollars"" Je connais un gars qui a dépensé 4000 dollars rien que sur Photoshop au fil des ans. Et les éditeurs de logiciels tirent 35 pour cent de leurs revenus rien que de ces mises à jour. J'appelle ça le Paradoxe de la Mise à Jour -- qui est que si on améliore un logiciel suffisamment de fois, au final on le ruine."
(Applause),"Je veux dire, Microsoft Word était juste un traitement de texte, vous savez, pendant l'administration Eisenhower. (Rires) Mais quelle est l'alternative? Microsoft a fait l'essai. Ils ont dit, ""Bon, attendez une minute. Tout le monde se plaint que nous ajoutons trop de fonctions. Créons un traitement de texte qui est seulement un traitement de texte. Simple, pur, il ne fait pas de pages web, ce n'est pas une base de données."" Et c'est sorti. Cela s'appelait Microsoft Write. Et personne de vous n'approuve de la tête, parce que c'est mort. Ce fut un flop. Personne ne l'a jamais acheté. J'appelle ça le Principe de l'Utilitaire Sportif. Les gens aiment s'entourer de puissance inutile, pas vrai? Ils n'ont pas besoin de la base de données et du site web, mais ils se disent, ""Bon, je vais mettre à jour, car, je pourrais, vous savez. Je pourrais en avoir besoin un jour!"" Donc, le problème est, quand vous ajoutez des fonctions, où est-ce qu'elles vont aller? Où est-ce que vous allez les mettre? Vous avez un nombre limité d'options. Boutons, glissières, menus déroulants, sous-menus. Mais si vous ne faites pas attention, vous vous retrouvez avec ça. (Rires)"
Thank you.,"Ceci n'a pas été retouché -- ce n'est une blague -- photo non retouchée de Microsoft Word, la copie que vous avez, avec toutes les barres de fonctions ouvertes. Vous ne les avez apparemment jamais toutes ouvertes et tout ce qui vont reste pour taper c'est cette petite, minuscule fenêtre ici en bas. (Rires) Et nous sommes arrivé a l'ère des interfaces matricielles, où il y a tellement de fonctions et d'options, que vous avez besoin de deux dimensions, vous savez. Une verticale et une horizontale. Vous les gars vous vous êtes tous plaints de Microsoft Word qui numérote vos liste et souligne vos liens automatiquement. Le bouton d'arrêt est quelque part par là. Je vous dis, il est là! Une partie de l'art de concevoir une bonne, et simple interface, c'est de savoir quand utiliser chacune de ces fonctions. Donc voici la fenêtre d'arrêt de Windows 2000. Il y a seulement quatre choix. alors pourquoi sont-ils dans un menu déroulant? Ce n'est pas comme si le reste de l'écran était tellement plein d'autres composants que vous avez besoin de fusionner les choix Ils auraient pu tous les rendre visibles."
"Good evening and welcome to: ""Spot the TED Presenter Who Used
to Be a Broadway Accompanist.""","Voici la vision d'Apple sur la même fenêtre. (Applaudissements) Merci -- oui, j'ai conçu la fenêtre de dialogue. Non, non, non. Déjà, nous pouvons voir qu'Apple et Microsoft ont une approche sévèrement divergente du design de logiciels. La simplicité selon Microsoft ressemble plutôt à: on va le fractionner, on va inclure plus d'étapes Et il y a ces assistants partout. Et vous savez, une nouvelle version de Windows sort cet automne. S’ils continuent à ce rythme, personne ne peut dire où ils vont finir. (Applaudissements) Bienvenue à l'assistant Taper-Un-Mot. OK, J'accroche. Cliquons sur suivant pour continuer. (Applaudissements) À partir du menu déroulant choisissez la première lettre à taper. OK. (Rires) Il y a donc une limite qu'il ne faut pas franchir. Alors quelle est la solution? Comment intégrer toutes ces fonctions d'une manière intelligente et simple? Je crois dans la cohérence quand c'est possible, équivalents réels, dossiers poubelle quand c'est possible, surtout étiqueter les choses Mais je supplie ici les développeurs d'enfreindre toutes ces règles si elles violent la plus grande règle de toutes, qui est l'intelligence. Maintenant qu'est ce que je veux dire par là? Je vais donner un exemple où l'intelligence fait que quelque chose n'est pas cohérent, mais mieux."
